/home/daci3090/data3090/Software/environment/anaconda3/envs/geyucheng_poly/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
========================
Namespace(seed=42, epochs=2000, lr=0.0002, weight_decay=0.0, attn_lr=0.01, attn_wd=0.001, early_stopping=250, hidden=128, dropout=0.4, dprate=0.6, n_head=8, d_ffn=512, q=2.0, multi=0.5, K=10, nlayer=2, base='mono', dataset='ogbn-arxiv', device_idx=0, net='PolyFormer', runs=1, metric='acc', test=1, batch_size=10000)
----------------------------------------------------------------------------------------------------
2026-03-25 11:28:39
Number of labels for ogbn-arxiv_split_0_K_10_mono 40
cuda:0 ./pretrained/5c348440f504499c92140daecfffa6b0.pt
Epoch:0269 train loss:0.799 acc:76.06 | val loss:0.958 acc:72.91
Epoch:0270 train loss:0.802 acc:75.97 | val loss:0.959 acc:72.93
Epoch:0271 train loss:0.800 acc:76.07 | val loss:0.969 acc:72.53
Epoch:0272 train loss:0.798 acc:76.11 | val loss:0.989 acc:72.44
Epoch:0273 train loss:0.800 acc:76.01 | val loss:0.958 acc:73.10
Epoch:0274 train loss:0.796 acc:75.95 | val loss:0.977 acc:73.10
Epoch:0275 train loss:0.794 acc:76.26 | val loss:0.990 acc:72.61
Epoch:0276 train loss:0.797 acc:75.99 | val loss:0.983 acc:73.20
Epoch:0277 train loss:0.791 acc:76.12 | val loss:1.005 acc:72.46
Epoch:0278 train loss:0.793 acc:76.15 | val loss:0.973 acc:73.35
Epoch:0279 train loss:0.794 acc:76.04 | val loss:0.974 acc:73.28
Epoch:0280 train loss:0.787 acc:76.54 | val loss:0.970 acc:73.14
Epoch:0281 train loss:0.795 acc:76.10 | val loss:0.976 acc:73.13
Epoch:0282 train loss:0.792 acc:76.17 | val loss:0.985 acc:73.16
Epoch:0283 train loss:0.795 acc:75.99 | val loss:0.974 acc:72.77
Epoch:0284 train loss:0.793 acc:76.22 | val loss:0.987 acc:72.66
Epoch:0285 train loss:0.789 acc:76.30 | val loss:0.975 acc:73.13
Epoch:0286 train loss:0.783 acc:76.55 | val loss:0.984 acc:72.93
Epoch:0287 train loss:0.787 acc:76.33 | val loss:0.968 acc:72.97
Epoch:0288 train loss:0.788 acc:76.32 | val loss:0.979 acc:72.91
Epoch:0289 train loss:0.787 acc:76.27 | val loss:0.985 acc:72.93
Epoch:0290 train loss:0.786 acc:76.20 | val loss:0.986 acc:72.93
Epoch:0291 train loss:0.781 acc:76.54 | val loss:0.974 acc:73.06
Epoch:0292 train loss:0.783 acc:76.45 | val loss:0.964 acc:72.83
Epoch:0293 train loss:0.781 acc:76.46 | val loss:0.965 acc:73.17
Epoch:0294 train loss:0.778 acc:76.60 | val loss:0.977 acc:72.88
Epoch:0295 train loss:0.777 acc:76.51 | val loss:0.981 acc:73.09
Epoch:0296 train loss:0.775 acc:76.49 | val loss:0.993 acc:72.70
Epoch:0297 train loss:0.778 acc:76.45 | val loss:0.999 acc:73.09
Epoch:0298 train loss:0.778 acc:76.72 | val loss:1.000 acc:72.74
Epoch:0299 train loss:0.778 acc:76.44 | val loss:0.980 acc:73.16
Epoch:0300 train loss:0.774 acc:76.55 | val loss:0.977 acc:72.85
Epoch:0301 train loss:0.774 acc:76.65 | val loss:0.979 acc:72.91
Epoch:0302 train loss:0.771 acc:76.75 | val loss:0.989 acc:73.16
Epoch:0303 train loss:0.772 acc:76.84 | val loss:0.993 acc:73.09
Epoch:0304 train loss:0.771 acc:76.65 | val loss:0.995 acc:72.90
Epoch:0305 train loss:0.773 acc:76.57 | val loss:0.984 acc:73.35
Epoch:0306 train loss:0.772 acc:76.67 | val loss:0.972 acc:72.98
Epoch:0307 train loss:0.773 acc:76.62 | val loss:0.998 acc:72.82
Epoch:0308 train loss:0.772 acc:76.69 | val loss:0.975 acc:72.89
Epoch:0309 train loss:0.773 acc:76.70 | val loss:0.977 acc:73.25
Epoch:0310 train loss:0.768 acc:76.57 | val loss:0.970 acc:72.72
Epoch:0311 train loss:0.765 acc:76.80 | val loss:0.975 acc:73.39
Epoch:0312 train loss:0.770 acc:76.77 | val loss:0.984 acc:72.84
Epoch:0313 train loss:0.765 acc:76.87 | val loss:0.984 acc:73.21
Epoch:0314 train loss:0.763 acc:76.84 | val loss:0.959 acc:73.15
Epoch:0315 train loss:0.767 acc:76.81 | val loss:0.987 acc:72.82
Epoch:0316 train loss:0.766 acc:76.93 | val loss:0.981 acc:73.12
Epoch:0317 train loss:0.769 acc:76.81 | val loss:0.986 acc:72.79
Epoch:0318 train loss:0.760 acc:77.01 | val loss:0.983 acc:72.80
Epoch:0319 train loss:0.763 acc:76.93 | val loss:1.017 acc:72.83
Epoch:0320 train loss:0.763 acc:76.84 | val loss:0.988 acc:72.98
Epoch:0321 train loss:0.761 acc:76.92 | val loss:0.968 acc:73.53
Epoch:0322 train loss:0.761 acc:76.95 | val loss:1.003 acc:72.77
Epoch:0323 train loss:0.761 acc:76.97 | val loss:1.015 acc:72.87
Epoch:0324 train loss:0.759 acc:76.96 | val loss:1.000 acc:73.01
